Model_Name,batchsize,dropout,lr,momentum,optimiser
cnn-optimised-exp7-71.25,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp7-72.50,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp7-72.81,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp7-74.27,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp7-74.58,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp7-76.67,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp7-80.94,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp4-70.43,144,0.3,0.001045,NA,Adam
cnn-optimised-exp5-74.27,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp5B-74.27,160,0.1,0.0001,0.916324,SGD
cnn-optimised-exp8A-71.88,160,0.2,0.000092,0.651985,RMSprop
cnn-optimised-exp8E-70.31,144,0.2,0.000024,0.264202,RMSprop
cnn-optimised-exp8E-73.06,144,0.2,0.000024,0.264202,RMSprop
cnn-optimised-exp8E-73.41,144,0.2,0.000024,0.264202,RMSprop
cnn-optimised-exp8F-74.33,144,0.1,0.000083,0.281588,RMSprop
cnn-optimised-exp9B-75.72,144,0,0.000094,0.060172,RMSprop
cnn-optimised-exp9C-70.05,128,0,0.000117,0.128368,RMSprop
cnn-optimised-exp9E-72.50,144,0.3,0.000093,0.226343,RMSprop
cnn-optimised-exp9E-74.06,144,0.3,0.000093,0.226343,RMSprop
cnn-optimised-exp7-76.67,160,0.1,0.0001,0.916324,SGD
